county,countyConfirmed,countyDeaths,state
New York City,21873,281,NY
Westchester County,5944,1,NY
Nassau County,3914,17,NY
Unassigned,3399.0,63.0,NJ
Suffolk County,2735,20,NY
Cook County,1418,14,IL
Wayne County,1389,21,MI
King County,1359,100,WA
Rockland County,1197,5,NY
Orleans Parish,997,46,LA
Bergen County,819,6,NJ
Los Angeles County,812,13,CA
Orange County,751,1,NY
Oakland County,668,10,MI
Snohomish County,634,16,WA
Miami-Dade County,616,0,FL
Fairfield County,546,12,CT
Broward County,504,3,FL
Santa Clara County,459,17,CA
Jefferson Parish,458,12,LA
Middlesex County,446,1,MA
Philadelphia County,402,1,PA
Essex County,381,4,NJ
Clark County,350,6,NV
Macomb County,347,7,MI
Suffolk County,342,1,MA
Milwaukee County,333,4,WI
Middlesex County,316,0,NJ
Monmouth County,313,3,NJ
Dallas County,303,7,TX
Maricopa County,299,2,AZ
San Diego County,293,2,CA
Davidson County,293,2,TN
Marion County,293,6,IN
Montgomery County,282,2,PA
Union County,262,0,NJ
Hudson County,260,1,NJ
Passaic County,255,0,NJ
District of Columbia County,231,3,DC
San Francisco County,223,2,CA
Morris County,223,1,NJ
Norfolk County,222,1,MA
Ocean County,222,1,NJ
Denver County,214,3,CO
Fulton County,211,2,GA
Cuyahoga County,206,2,OH
Mecklenburg County,204,0,NC
Shelby County,198,0,TN
San Mateo County,195,5,CA
Dutchess County,190,1,NY
Orange County,187,1,CA
Harris County,185,1,TX
St. Louis County,182,2,MO
Unassigned,181.0,0.0,TN
Essex County,177,0,MA
Albany County,171,0,NY
Palm Beach County,169,3,FL
Unassigned,166.0,32.0,GA
Montgomery County,164,1,MD
Unassigned,162.0,9.0,MA
Delaware County,156,2,PA
Dougherty County,156,6,GA
Pierce County,155,2,WA
Baltimore County,153,1,MD
Salt Lake County,151,0,UT
Erie County,146,1,NY
Hillsborough County,142,0,FL
Monroe County,142,3,NY
Jefferson County,140,0,AL
Lake County,139,0,IL
Alameda County,135,2,CA
Allegheny County,133,2,PA
DuPage County,131,0,IL
DeKalb County,129,0,GA
Worcester County,129,2,MA
Hennepin County,128,0,MN
New Haven County,127,2,CT
El Paso County,122,5,CO
Eagle County,120,1,CO
Travis County,119,0,TX
Somerset County,117,1,NJ
Hartford County,116,2,CT
Caddo Parish,115,1,LA
Cobb County,115,2,GA
Sacramento County,113,5,CA
Orange County,110,4,FL
Bucks County,110,0,PA
Contra Costa County,108,1,CA
East Baton Rouge Parish,105,4,LA
Unassigned,105.0,4.0,NV
Riverside County,105,8,CA
Prince George's County,101,2,MD
Plymouth County,101,0,MA
Tarrant County,100,1,TX
Washington County,96,2,OR
Putnam County,94,0,NY
Jefferson County,93,2,CO
Washtenaw County,92,3,MI
Ascension Parish,91,1,LA
Cumberland County,90,0,ME
St. Tammany Parish,89,1,LA
Summit County,89,0,UT
Arapahoe County,88,1,CO
Franklin County,88,2,OH
Dane County,88,1,WI
Weld County,87,4,CO
Bartow County,86,1,GA
New Castle County,86,0,DE
Bexar County,84,3,TX
Chester County,84,0,PA
Durham County,84,0,NC
Wake County,84,0,NC
Onondaga County,83,1,NY
Pulaski County,83,0,AR
Mercer County,82,0,NJ
Unassigned,81,1,Other
Fairfax County,80,1,VA
Ulster County,78,0,NY
Pima County,75,1,AZ
Gwinnett County,75,1,GA
Chittenden County,75,4,VT
Duval County,74,3,FL
Saratoga County,73,0,NY
Oklahoma County,73,2,OK
San Joaquin County,71,3,CA
Berkshire County,71,0,MA
Denton County,70,0,TX
Monroe County,67,2,PA
Bristol County,67,0,MA
Collin County,66,1,TX
Whatcom County,66,2,WA
Williamson County,66,0,TN
Blaine County,66,0,ID
Collier County,65,0,FL
Unassigned,64,2,PR
Pinellas County,64,1,FL
Genesee County,63,0,MI
Kershaw County,63,1,SC
Lehigh County,63,1,PA
Skagit County,63,1,WA
Schenectady County,62,1,NY
Camden County,61,1,NJ
Jackson County,60,1,MO
Marin County,60,0,CA
Richland County,59,0,SC
Douglas County,58,0,CO
Honolulu County,58,0,HI
Washoe County,57,0,NV
Lee County,56,3,FL
Northampton County,56,3,PA
Rockingham County,56,0,NH
Arlington County,55,0,VA
Unassigned,55.0,0.0,KY
Island County,54,1,WA
San Bernardino County,54,2,CA
Spokane County,54,0,WA
Fort Bend County,54,0,TX
Sullivan County,53,0,NY
Providence County,52,0,RI
Charleston County,52,1,SC
Gunnison County,52,1,CO
Boulder County,51,0,CO
Barnstable County,51,1,MA
Yakima County,51,1,WA
Carroll County,50,0,GA
Ventura County,50,1,CA
Greenville County,50,0,SC
Alachua County,49,0,FL
Howard County,49,0,MD
DeSoto County,49,0,MS
Shelby County,49,0,AL
