,region,region_name,county,state
0,01003,"Baldwin County, AL",Baldwin County,AL
1,01007,"Bibb County, AL",Bibb County,AL
2,01009,"Blount County, AL",Blount County,AL
3,01013,"Butler County, AL",Butler County,AL
4,01017,"Chambers County, AL",Chambers County,AL
5,01025,"Clarke County, AL",Clarke County,AL
6,01029,"Cleburne County, AL",Cleburne County,AL
7,01043,"Cullman County, AL",Cullman County,AL
8,01045,"Dale County, AL",Dale County,AL
9,01047,"Dallas County, AL",Dallas County,AL
10,01049,"DeKalb County, AL",DeKalb County,AL
11,01053,"Escambia County, AL",Escambia County,AL
12,01055,"Etowah County, AL",Etowah County,AL
13,01057,"Fayette County, AL",Fayette County,AL
14,01059,"Franklin County, AL",Franklin County,AL
15,01061,"Geneva County, AL",Geneva County,AL
16,01071,"Jackson County, AL",Jackson County,AL
17,01075,"Lamar County, AL",Lamar County,AL
18,01077,"Lauderdale County, AL",Lauderdale County,AL
19,01081,"Lee County, AL",Lee County,AL
20,01087,"Macon County, AL",Macon County,AL
21,01089,"Madison County, AL",Madison County,AL
22,01091,"Marengo County, AL",Marengo County,AL
23,01095,"Marshall County, AL",Marshall County,AL
24,01097,"Mobile County, AL",Mobile County,AL
25,01099,"Monroe County, AL",Monroe County,AL
26,01105,"Perry County, AL",Perry County,AL
27,01111,"Randolph County, AL",Randolph County,AL
28,01115,"St. Clair County, AL",St. Clair County,AL
29,01117,"Shelby County, AL",Shelby County,AL
30,01119,"Sumter County, AL",Sumter County,AL
31,01123,"Tallapoosa County, AL",Tallapoosa County,AL
32,01129,"Washington County, AL",Washington County,AL
33,01133,"Winston County, AL",Winston County,AL
34,02020,"Anchorage Municipality, AK",Anchorage Municipality,AK
35,02068,"Denali Borough, AK",Denali Borough,AK
36,02070,"Dillingham Census Area, AK",Dillingham Census Area,AK
37,02090,"Fairbanks North Star Borough, AK",Fairbanks North Star Borough,AK
38,02100,"Haines Borough, AK",Haines Borough,AK
39,02130,"Ketchikan Gateway Borough, AK",Ketchikan Gateway Borough,AK
40,02164,"Lake and Peninsula Borough, AK",Lake and Peninsula Borough,AK
41,02180,"Nome Census Area, AK",Nome Census Area,AK
42,02185,"North Slope Borough, AK",North Slope Borough,AK
43,02195,"Petersburg Census Area, AK",Petersburg Census Area,AK
44,02282,"Yakutat City and Borough, AK",Yakutat City and Borough,AK
45,04007,"Gila County, AZ",Gila County,AZ
46,04009,"Graham County, AZ",Graham County,AZ
47,04013,"Maricopa County, AZ",Maricopa County,AZ
48,04015,"Mohave County, AZ",Mohave County,AZ
49,04021,"Pinal County, AZ",Pinal County,AZ
50,04027,"Yuma County, AZ",Yuma County,AZ
51,05003,"Ashley County, AR",Ashley County,AR
52,05005,"Baxter County, AR",Baxter County,AR
53,05007,"Benton County, AR",Benton County,AR
54,05011,"Bradley County, AR",Bradley County,AR
55,05013,"Calhoun County, AR",Calhoun County,AR
56,05015,"Carroll County, AR",Carroll County,AR
57,05017,"Chicot County, AR",Chicot County,AR
58,05019,"Clark County, AR",Clark County,AR
59,05023,"Cleburne County, AR",Cleburne County,AR
60,05031,"Craighead County, AR",Craighead County,AR
61,05033,"Crawford County, AR",Crawford County,AR
62,05037,"Cross County, AR",Cross County,AR
63,05047,"Franklin County, AR",Franklin County,AR
64,05049,"Fulton County, AR",Fulton County,AR
65,05051,"Garland County, AR",Garland County,AR
66,05055,"Greene County, AR",Greene County,AR
67,05059,"Hot Spring County, AR",Hot Spring County,AR
68,05063,"Independence County, AR",Independence County,AR
69,05065,"Izard County, AR",Izard County,AR
70,05069,"Jefferson County, AR",Jefferson County,AR
71,05071,"Johnson County, AR",Johnson County,AR
72,05073,"Lafayette County, AR",Lafayette County,AR
73,05077,"Lee County, AR",Lee County,AR
74,05079,"Lincoln County, AR",Lincoln County,AR
75,05085,"Lonoke County, AR",Lonoke County,AR
76,05087,"Madison County, AR",Madison County,AR
77,05089,"Marion County, AR",Marion County,AR
78,05091,"Miller County, AR",Miller County,AR
79,05095,"Monroe County, AR",Monroe County,AR
80,05097,"Montgomery County, AR",Montgomery County,AR
81,05099,"Nevada County, AR",Nevada County,AR
82,05103,"Ouachita County, AR",Ouachita County,AR
83,05107,"Phillips County, AR",Phillips County,AR
84,05109,"Pike County, AR",Pike County,AR
85,05111,"Poinsett County, AR",Poinsett County,AR
86,05113,"Polk County, AR",Polk County,AR
87,05115,"Pope County, AR",Pope County,AR
88,05117,"Prairie County, AR",Prairie County,AR
89,05119,"Pulaski County, AR",Pulaski County,AR
90,05121,"Randolph County, AR",Randolph County,AR
91,05131,"Sebastian County, AR",Sebastian County,AR
92,05135,"Sharp County, AR",Sharp County,AR
93,05137,"Stone County, AR",Stone County,AR
94,05139,"Union County, AR",Union County,AR
95,05143,"Washington County, AR",Washington County,AR
96,05145,"White County, AR",White County,AR
97,06003,"Alpine County, CA",Alpine County,CA
98,06007,"Butte County, CA",Butte County,CA
99,06009,"Calaveras County, CA",Calaveras County,CA
100,06013,"Contra Costa County, CA",Contra Costa County,CA
101,06017,"El Dorado County, CA",El Dorado County,CA
102,06019,"Fresno County, CA",Fresno County,CA
103,06023,"Humboldt County, CA",Humboldt County,CA
104,06027,"Inyo County, CA",Inyo County,CA
105,06037,"Los Angeles County, CA",Los Angeles County,CA
106,06045,"Mendocino County, CA",Mendocino County,CA
107,06053,"Monterey County, CA",Monterey County,CA
108,06055,"Napa County, CA",Napa County,CA
109,06059,"Orange County, CA",Orange County,CA
110,06061,"Placer County, CA",Placer County,CA
111,06075,"San Francisco County, CA",San Francisco County,CA
112,06081,"San Mateo County, CA",San Mateo County,CA
113,06083,"Santa Barbara County, CA",Santa Barbara County,CA
114,06085,"Santa Clara County, CA",Santa Clara County,CA
115,06087,"Santa Cruz County, CA",Santa Cruz County,CA
116,06095,"Solano County, CA",Solano County,CA
117,06097,"Sonoma County, CA",Sonoma County,CA
118,06099,"Stanislaus County, CA",Stanislaus County,CA
119,06101,"Sutter County, CA",Sutter County,CA
120,06111,"Ventura County, CA",Ventura County,CA
121,06113,"Yolo County, CA",Yolo County,CA
122,06115,"Yuba County, CA",Yuba County,CA
123,08001,"Adams County, CO",Adams County,CO
124,08003,"Alamosa County, CO",Alamosa County,CO
125,08005,"Arapahoe County, CO",Arapahoe County,CO
126,08007,"Archuleta County, CO",Archuleta County,CO
127,08011,"Bent County, CO",Bent County,CO
128,08013,"Boulder County, CO",Boulder County,CO
129,08017,"Cheyenne County, CO",Cheyenne County,CO
130,08019,"Clear Creek County, CO",Clear Creek County,CO
131,08027,"Custer County, CO",Custer County,CO
132,08031,"Denver County, CO",Denver County,CO
133,08035,"Douglas County, CO",Douglas County,CO
134,08039,"Elbert County, CO",Elbert County,CO
135,08043,"Fremont County, CO",Fremont County,CO
136,08049,"Grand County, CO",Grand County,CO
137,08051,"Gunnison County, CO",Gunnison County,CO
138,08055,"Huerfano County, CO",Huerfano County,CO
139,08061,"Kiowa County, CO",Kiowa County,CO
140,08067,"La Plata County, CO",La Plata County,CO
141,08073,"Lincoln County, CO",Lincoln County,CO
142,08079,"Mineral County, CO",Mineral County,CO
143,08087,"Morgan County, CO",Morgan County,CO
144,08089,"Otero County, CO",Otero County,CO
145,08097,"Pitkin County, CO",Pitkin County,CO
146,08099,"Prowers County, CO",Prowers County,CO
147,08103,"Rio Blanco County, CO",Rio Blanco County,CO
148,08107,"Routt County, CO",Routt County,CO
149,08109,"Saguache County, CO",Saguache County,CO
150,08111,"San Juan County, CO",San Juan County,CO
151,08113,"San Miguel County, CO",San Miguel County,CO
152,08117,"Summit County, CO",Summit County,CO
153,08123,"Weld County, CO",Weld County,CO
154,09003,"Hartford County, CT",Hartford County,CT
155,09005,"Litchfield County, CT",Litchfield County,CT
156,09007,"Middlesex County, CT",Middlesex County,CT
157,09015,"Windham County, CT",Windham County,CT
158,10003,"New Castle County, DE",New Castle County,DE
159,10005,"Sussex County, DE",Sussex County,DE
160,11001,"District of Columbia, DC",District of Columbia,DC
161,12001,"Alachua County, FL",Alachua County,FL
162,12003,"Baker County, FL",Baker County,FL
163,12005,"Bay County, FL",Bay County,FL
164,12011,"Broward County, FL",Broward County,FL
165,12013,"Calhoun County, FL",Calhoun County,FL
166,12017,"Citrus County, FL",Citrus County,FL
167,12027,"DeSoto County, FL",DeSoto County,FL
168,12035,"Flagler County, FL",Flagler County,FL
169,12037,"Franklin County, FL",Franklin County,FL
170,12043,"Glades County, FL",Glades County,FL
171,12045,"Gulf County, FL",Gulf County,FL
172,12049,"Hardee County, FL",Hardee County,FL
173,12051,"Hendry County, FL",Hendry County,FL
174,12055,"Highlands County, FL",Highlands County,FL
175,12059,"Holmes County, FL",Holmes County,FL
176,12061,"Indian River County, FL",Indian River County,FL
177,12067,"Lafayette County, FL",Lafayette County,FL
178,12069,"Lake County, FL",Lake County,FL
179,12073,"Leon County, FL",Leon County,FL
180,12075,"Levy County, FL",Levy County,FL
181,12079,"Madison County, FL",Madison County,FL
182,12081,"Manatee County, FL",Manatee County,FL
183,12085,"Martin County, FL",Martin County,FL
184,12089,"Nassau County, FL",Nassau County,FL
185,12101,"Pasco County, FL",Pasco County,FL
186,12103,"Pinellas County, FL",Pinellas County,FL
187,12115,"Sarasota County, FL",Sarasota County,FL
188,12119,"Sumter County, FL",Sumter County,FL
189,12121,"Suwannee County, FL",Suwannee County,FL
190,12129,"Wakulla County, FL",Wakulla County,FL
191,13005,"Bacon County, GA",Bacon County,GA
192,13007,"Baker County, GA",Baker County,GA
193,13009,"Baldwin County, GA",Baldwin County,GA
194,13015,"Bartow County, GA",Bartow County,GA
195,13017,"Ben Hill County, GA",Ben Hill County,GA
196,13019,"Berrien County, GA",Berrien County,GA
197,13021,"Bibb County, GA",Bibb County,GA
198,13025,"Brantley County, GA",Brantley County,GA
199,13029,"Bryan County, GA",Bryan County,GA
200,13035,"Butts County, GA",Butts County,GA
201,13039,"Camden County, GA",Camden County,GA
202,13051,"Chatham County, GA",Chatham County,GA
203,13059,"Clarke County, GA",Clarke County,GA
204,13061,"Clay County, GA",Clay County,GA
205,13069,"Coffee County, GA",Coffee County,GA
206,13073,"Columbia County, GA",Columbia County,GA
207,13075,"Cook County, GA",Cook County,GA
208,13077,"Coweta County, GA",Coweta County,GA
209,13083,"Dade County, GA",Dade County,GA
210,13093,"Dooly County, GA",Dooly County,GA
211,13095,"Dougherty County, GA",Dougherty County,GA
212,13101,"Echols County, GA",Echols County,GA
213,13105,"Elbert County, GA",Elbert County,GA
214,13107,"Emanuel County, GA",Emanuel County,GA
215,13109,"Evans County, GA",Evans County,GA
216,13119,"Franklin County, GA",Franklin County,GA
217,13127,"Glynn County, GA",Glynn County,GA
218,13131,"Grady County, GA",Grady County,GA
219,13135,"Gwinnett County, GA",Gwinnett County,GA
220,13147,"Hart County, GA",Hart County,GA
221,13149,"Heard County, GA",Heard County,GA
222,13151,"Henry County, GA",Henry County,GA
223,13161,"Jeff Davis County, GA",Jeff Davis County,GA
224,13163,"Jefferson County, GA",Jefferson County,GA
225,13173,"Lanier County, GA",Lanier County,GA
226,13177,"Lee County, GA",Lee County,GA
227,13181,"Lincoln County, GA",Lincoln County,GA
228,13183,"Long County, GA",Long County,GA
229,13185,"Lowndes County, GA",Lowndes County,GA
230,13193,"Macon County, GA",Macon County,GA
231,13195,"Madison County, GA",Madison County,GA
232,13199,"Meriwether County, GA",Meriwether County,GA
233,13201,"Miller County, GA",Miller County,GA
234,13207,"Monroe County, GA",Monroe County,GA
235,13213,"Murray County, GA",Murray County,GA
236,13221,"Oglethorpe County, GA",Oglethorpe County,GA
237,13223,"Paulding County, GA",Paulding County,GA
238,13225,"Peach County, GA",Peach County,GA
239,13229,"Pierce County, GA",Pierce County,GA
240,13233,"Polk County, GA",Polk County,GA
241,13239,"Quitman County, GA",Quitman County,GA
242,13243,"Randolph County, GA",Randolph County,GA
243,13247,"Rockdale County, GA",Rockdale County,GA
244,13249,"Schley County, GA",Schley County,GA
245,13251,"Screven County, GA",Screven County,GA
246,13253,"Seminole County, GA",Seminole County,GA
247,13255,"Spalding County, GA",Spalding County,GA
248,13259,"Stewart County, GA",Stewart County,GA
249,13265,"Taliaferro County, GA",Taliaferro County,GA
250,13267,"Tattnall County, GA",Tattnall County,GA
251,13273,"Terrell County, GA",Terrell County,GA
252,13275,"Thomas County, GA",Thomas County,GA
253,13279,"Toombs County, GA",Toombs County,GA
254,13283,"Treutlen County, GA",Treutlen County,GA
255,13287,"Turner County, GA",Turner County,GA
256,13295,"Walker County, GA",Walker County,GA
257,13301,"Warren County, GA",Warren County,GA
258,13303,"Washington County, GA",Washington County,GA
259,13305,"Wayne County, GA",Wayne County,GA
260,13315,"Wilcox County, GA",Wilcox County,GA
261,13319,"Wilkinson County, GA",Wilkinson County,GA
262,13321,"Worth County, GA",Worth County,GA
263,16001,"Ada County, ID",Ada County,ID
264,16007,"Bear Lake County, ID",Bear Lake County,ID
265,16011,"Bingham County, ID",Bingham County,ID
266,16017,"Bonner County, ID",Bonner County,ID
267,16019,"Bonneville County, ID",Bonneville County,ID
268,16023,"Butte County, ID",Butte County,ID
269,16025,"Camas County, ID",Camas County,ID
270,16027,"Canyon County, ID",Canyon County,ID
271,16041,"Franklin County, ID",Franklin County,ID
272,16047,"Gooding County, ID",Gooding County,ID
273,16049,"Idaho County, ID",Idaho County,ID
274,16053,"Jerome County, ID",Jerome County,ID
275,16059,"Lemhi County, ID",Lemhi County,ID
276,16061,"Lewis County, ID",Lewis County,ID
277,16073,"Owyhee County, ID",Owyhee County,ID
278,16083,"Twin Falls County, ID",Twin Falls County,ID
