,ds,region,percent_ill
0,2016-08-02,12086,1.16098472169553
656,2016-08-03,12086,0.840485221606175
1,2016-08-04,12086,0.954323791108297
657,2016-08-05,12086,0.788516241917383
2,2016-08-06,12086,0.884493799385042
658,2016-08-07,12086,0.932193369699676
659,2016-08-08,12086,0.837428145923122
660,2016-08-09,12086,0.678117747172067
661,2016-08-10,12086,0.439841576546297
3,2016-08-11,12086,0.243213041802061
4,2016-08-12,12086,0.243378856449384
662,2016-08-13,12086,0.202613339852255
5,2016-08-14,12086,0.396117910058497
663,2016-08-15,12086,0.741545614172846
664,2016-08-16,12086,0.899620942745452
665,2016-08-17,12086,0.884182710447267
6,2016-08-18,12086,0.88449296302862
666,2016-08-19,12086,1.00524529816866
667,2016-08-20,12086,1.00409872077703
668,2016-08-21,12086,1.421480898352
7,2016-08-22,12086,1.40157627421584
8,2016-08-23,12086,1.35583343674997
9,2016-08-24,12086,1.40609502034614
10,2016-08-25,12086,1.66257455504199
669,2016-08-26,12086,2.02347281732865
11,2016-08-27,12086,2.1405345160546
12,2016-08-28,12086,2.29649365266387
13,2016-08-29,12086,1.9702998800972
14,2016-08-30,12086,2.01402944240466
670,2016-08-31,12086,2.22691689788908
15,2016-09-01,12086,2.11695798424262
671,2016-09-02,12086,1.63234946488105
16,2016-09-03,12086,2.07214956463719
17,2016-09-04,12086,1.7539046180588
672,2016-09-05,12086,1.66142082126999
673,2016-09-06,12086,1.63332677832446
674,2016-09-07,12086,1.59124405329073
675,2016-09-08,12086,1.33361482502771
676,2016-09-09,12086,1.45609326552269
18,2016-09-10,12086,1.84936329263914
19,2016-09-11,12086,1.63250142228628
677,2016-09-12,12086,1.78046859549366
678,2016-09-13,12086,1.96529833555648
20,2016-09-14,12086,2.05303116501723
679,2016-09-15,12086,2.46190595638596
680,2016-09-16,12086,2.8620624785314
681,2016-09-17,12086,2.6545371330706
21,2016-09-18,12086,2.47686267857287
22,2016-09-19,12086,2.14513997270904
23,2016-09-20,12086,2.17929180825953
682,2016-09-21,12086,2.10962483799274
24,2016-09-22,12086,1.99406582838562
683,2016-09-23,12086,1.73116840129305
684,2016-09-24,12086,1.50484314964103
25,2016-09-25,12086,1.97801744486325
685,2016-09-26,12086,2.12883444459058
686,2016-09-27,12086,2.44917847401423
26,2016-09-28,12086,2.28750495399988
27,2016-09-29,12086,2.09136072205251
687,2016-09-30,12086,1.98087829089982
688,2016-10-01,12086,2.19714838322765
28,2016-10-02,12086,1.90729853271116
29,2016-10-03,12086,1.59156165814675
30,2016-10-04,12086,1.43380804917816
689,2016-10-05,12086,1.45107089900626
31,2016-10-06,12086,1.37381323726235
32,2016-10-07,12086,1.26732976000408
690,2016-10-08,12086,1.21711044745768
691,2016-10-09,12086,1.46653149282529
33,2016-10-10,12086,1.36961943167813
692,2016-10-11,12086,1.20223596995889
693,2016-10-12,12086,1.0675121948005
694,2016-10-13,12086,0.97044401148699
695,2016-10-14,12086,1.32960620578842
34,2016-10-15,12086,1.3269081686167
35,2016-10-16,12086,1.44331247130755
36,2016-10-17,12086,1.59818396232426
37,2016-10-18,12086,1.46116599209114
38,2016-10-19,12086,1.42200062616415
39,2016-10-20,12086,1.38076638910049
40,2016-10-21,12086,1.28038051467688
696,2016-10-22,12086,0.823835028483161
697,2016-10-23,12086,0.776463899735704
698,2016-10-24,12086,0.571229959669954
699,2016-10-25,12086,0.461561439275785
41,2016-10-26,12086,0.260182107486881
700,2016-10-27,12086,0.276115900783985
701,2016-10-28,12086,0.52322340446333
42,2016-10-29,12086,1.07783671638892
702,2016-10-30,12086,1.35039820425204
43,2016-10-31,12086,1.44750102538358
703,2016-11-01,12086,1.87733158916161
704,2016-11-02,12086,1.83341227117289
705,2016-11-03,12086,1.98085611115923
44,2016-11-04,12086,2.470144499601
45,2016-11-05,12086,2.27163394016798
46,2016-11-06,12086,2.10667803541549
706,2016-11-07,12086,1.77140994007947
707,2016-11-08,12086,1.62628623730816
47,2016-11-09,12086,1.42099431083565
48,2016-11-10,12086,0.984649368991726
708,2016-11-11,12086,0.610776297099501
709,2016-11-12,12086,0.579249887516281
49,2016-11-13,12086,0.746047173335759
50,2016-11-14,12086,0.947806237994135
51,2016-11-15,12086,1.10496129613292
52,2016-11-16,12086,1.19040639638385
710,2016-11-17,12086,1.85006962761697
53,2016-11-18,12086,1.91263105727821
54,2016-11-19,12086,2.08879551314032
711,2016-11-20,12086,2.33645214375169
55,2016-11-21,12086,2.09758524971927
712,2016-11-22,12086,2.13682446254471
56,2016-11-23,12086,2.10911045888965
713,2016-11-24,12086,2.03665016134259
57,2016-11-25,12086,1.54274294060485
58,2016-11-26,12086,1.88762390643654
59,2016-11-27,12086,1.87868893118005
60,2016-11-28,12086,2.00892642145712
714,2016-11-29,12086,2.32162275410545
715,2016-11-30,12086,2.62988694046324
716,2016-12-01,12086,2.63394371783131
61,2016-12-02,12086,2.94069576322664
62,2016-12-03,12086,2.89619876258171
63,2016-12-04,12086,2.91746775061935
717,2016-12-05,12086,2.47228634748874
718,2016-12-06,12086,2.17074801251146
64,2016-12-07,12086,1.96699206130573
65,2016-12-08,12086,2.03772339948033
719,2016-12-09,12086,1.63130178803135
720,2016-12-10,12086,1.89629042419492
721,2016-12-11,12086,2.06076081171177
66,2016-12-12,12086,2.32729263498346
67,2016-12-13,12086,2.95652977599449
68,2016-12-14,12086,3.26869353214093
722,2016-12-15,12086,3.20597528510446
723,2016-12-16,12086,2.99186185499919
69,2016-12-17,12086,3.27503882430452
724,2016-12-18,12086,3.4377589730179
725,2016-12-19,12086,3.65031939561234
726,2016-12-20,12086,3.47147857063218
727,2016-12-21,12086,2.85879676974293
70,2016-12-22,12086,2.3333883608147
71,2016-12-23,12086,2.35285985271715
72,2016-12-24,12086,2.1976026052769
73,2016-12-25,12086,2.09392201899369
728,2016-12-26,12086,2.23951671999377
74,2016-12-27,12086,2.34685421228332
75,2016-12-28,12086,2.31421884084477
729,2016-12-29,12086,2.56413374369576
730,2016-12-30,12086,2.70776187530594
731,2016-12-31,12086,2.82207294436704
732,2017-01-01,12086,2.84942593344651
733,2017-01-02,12086,2.75912911745405
734,2017-01-03,12086,2.72911011813149
76,2017-01-04,12086,3.10530908255792
735,2017-01-05,12086,3.07737264856001
736,2017-01-06,12086,2.89595784904336
77,2017-01-07,12086,2.6783327901022
78,2017-01-08,12086,2.74761004118791
737,2017-01-09,12086,3.02711740280315
79,2017-01-10,12086,2.50300135668433
80,2017-01-11,12086,2.79871096882088
81,2017-01-12,12086,2.81839909835273
82,2017-01-13,12086,2.91208075033703
738,2017-01-14,12086,2.89448759661283
739,2017-01-15,12086,2.87599896231314
740,2017-01-16,12086,2.89777995915685
83,2017-01-17,12086,3.25574947580175
84,2017-01-18,12086,3.11492920146891
85,2017-01-19,12086,3.37906885544681
86,2017-01-20,12086,3.19568950567123
87,2017-01-21,12086,3.03230073695013
88,2017-01-22,12086,3.71854419765853
89,2017-01-23,12086,3.80950988831717
90,2017-01-24,12086,3.94978108724829
91,2017-01-25,12086,3.4967330570379
92,2017-01-26,12086,3.63430776086656
741,2017-01-27,12086,3.49084144262191
93,2017-01-28,12086,3.58980967694564
742,2017-01-29,12086,3.60730470910985
743,2017-01-30,12086,3.42357197553995
744,2017-01-31,12086,3.1997411367128
94,2017-02-01,12086,3.57054061666947
745,2017-02-02,12086,3.82042768296377
746,2017-02-03,12086,4.25383614786243
95,2017-02-04,12086,4.63623654097333
96,2017-02-05,12086,4.65752457452242
747,2017-02-06,12086,4.923900902404
748,2017-02-07,12086,4.97656272551976
749,2017-02-08,12086,4.82760459322822
750,2017-02-09,12086,4.36109102150225
97,2017-02-10,12086,4.21713389362412
751,2017-02-11,12086,4.26458173552623
752,2017-02-12,12086,3.54571342519534
753,2017-02-13,12086,3.5913313693141
98,2017-02-14,12086,3.58372364061408
754,2017-02-15,12086,3.35022860189246
99,2017-02-16,12086,3.38696914946446
100,2017-02-17,12086,3.11013645590803
755,2017-02-18,12086,3.21601329791629
101,2017-02-19,12086,2.9511036592094
102,2017-02-20,12086,3.43591852808938
756,2017-02-21,12086,3.59599923765052
757,2017-02-22,12086,4.40471094588476
